C:\COSMOS\COSMOS-Telemetry\outputs\logs\2018_02_03_14_22_43_tlm.bin

TARGET	PACKET	GPS_TIME	GPS_LAT	GPS_LON	RTC	
UPBOARD	GPS	0.0	0.0	0.0	2179
UPBOARD	GPS	0.0	0.0	0.0	2179
UPBOARD	GPS	222245.40625	3520.860107421875	-11748.5595703125	2179
UPBOARD	GPS	0.0	0.0	0.0	2179
UPBOARD	GPS	0.0	0.0	0.0	2179
UPBOARD	GPS	222245.59375	3520.860107421875	-11748.5595703125	2179
UPBOARD	GPS	0.0	0.0	0.0	2179
UPBOARD	GPS	0.0	0.0	0.0	2179
UPBOARD	GPS	0.0	0.0	0.0	2179
UPBOARD	GPS	222245.703125	3520.860107421875	-11748.5595703125	2179
UPBOARD	GPS	0.0	0.0	0.0	2179
UPBOARD	GPS	0.0	0.0	0.0	2179
UPBOARD	GPS	0.0	0.0	0.0	2179
UPBOARD	GPS	222245.796875	3520.860107421875	-11748.5595703125	2179
UPBOARD	GPS	0.0	0.0	0.0	2179
UPBOARD	GPS	0.0	0.0	0.0	2179
UPBOARD	GPS	0.0	0.0	0.0	2179
UPBOARD	GPS	222245.90625	3520.860107421875	-11748.5595703125	2179
UPBOARD	GPS	0.0	0.0	0.0	2179
UPBOARD	GPS	0.0	0.0	0.0	2179
UPBOARD	GPS	0.0	0.0	0.0	2179
UPBOARD	GPS	222246.0	3520.860107421875	-11748.5595703125	2179
UPBOARD	GPS	0.0	0.0	0.0	2179
UPBOARD	GPS	0.0	0.0	0.0	2179
UPBOARD	GPS	0.0	0.0	0.0	0
UPBOARD	GPS	222246.09375	3520.860107421875	-11748.5595703125	2179
UPBOARD	GPS	0.0	0.0	0.0	2179
UPBOARD	GPS	0.0	0.0	0.0	2180
UPBOARD	GPS	0.0	0.0	0.0	2180
UPBOARD	GPS	222246.203125	3520.860107421875	-11748.5595703125	2180
UPBOARD	GPS	0.0	0.0	0.0	2180
UPBOARD	GPS	0.0	0.0	0.0	2180
UPBOARD	GPS	0.0	0.0	0.0	2180
UPBOARD	GPS	222246.296875	3520.860107421875	-11748.5595703125	2180
UPBOARD	GPS	0.0	0.0	0.0	2180
UPBOARD	GPS	0.0	0.0	0.0	2180
UPBOARD	GPS	0.0	0.0	0.0	2180
UPBOARD	GPS	222246.59375	3520.860107421875	-11748.5595703125	2180
UPBOARD	GPS	0.0	0.0	0.0	2180
UPBOARD	GPS	0.0	0.0	0.0	2180
UPBOARD	GPS	222246.796875	3520.860107421875	-11748.5595703125	2180
UPBOARD	GPS	0.0	0.0	0.0	2180
UPBOARD	GPS	0.0	0.0	0.0	2180
UPBOARD	GPS	0.0	0.0	0.0	2180
UPBOARD	GPS	222246.90625	3520.860107421875	-11748.5595703125	2180
UPBOARD	GPS	0.0	0.0	0.0	2180
UPBOARD	GPS	0.0	0.0	0.0	2180
UPBOARD	GPS	0.0	0.0	0.0	2180
UPBOARD	GPS	222247.0	3520.860107421875	-11748.5595703125	2180
UPBOARD	GPS	0.0	0.0	0.0	2180
UPBOARD	GPS	0.0	0.0	0.0	2180
UPBOARD	GPS	0.0	0.0	0.0	2180
UPBOARD	GPS	222247.09375	3520.860107421875	-11748.5595703125	2180
UPBOARD	GPS	0.0	0.0	0.0	2180
UPBOARD	GPS	0.0	0.0	0.0	2180
UPBOARD	GPS	0.0	0.0	0.0	2180
UPBOARD	GPS	222247.203125	3520.860107421875	-11748.5595703125	2181
UPBOARD	GPS	0.0	0.0	0.0	2181
UPBOARD	GPS	0.0	0.0	0.0	2181
UPBOARD	GPS	0.0	0.0	0.0	2181
UPBOARD	GPS	222247.296875	3520.860107421875	-11748.5595703125	2181
UPBOARD	GPS	0.0	0.0	0.0	2181
UPBOARD	GPS	0.0	0.0	0.0	2181
UPBOARD	GPS	0.0	0.0	0.0	2181
UPBOARD	GPS	222247.40625	3520.860107421875	-11748.5595703125	2181
UPBOARD	GPS	0.0	0.0	0.0	2181
UPBOARD	GPS	0.0	0.0	0.0	2181
UPBOARD	GPS	0.0	0.0	0.0	2181
UPBOARD	GPS	222247.5	3520.860107421875	-11748.5595703125	2181
UPBOARD	GPS	0.0	0.0	0.0	2181
UPBOARD	GPS	0.0	0.0	0.0	2181
UPBOARD	GPS	0.0	0.0	0.0	2181
UPBOARD	GPS	222247.796875	3520.860107421875	-11748.5595703125	2181
UPBOARD	GPS	0.0	0.0	0.0	2181
UPBOARD	GPS	0.0	0.0	0.0	2181
UPBOARD	GPS	222248.0	3520.860107421875	-11748.5595703125	2181
UPBOARD	GPS	0.0	0.0	0.0	2181
UPBOARD	GPS	0.0	0.0	0.0	2181
UPBOARD	GPS	0.0	0.0	0.0	2181
UPBOARD	GPS	222248.09375	3520.860107421875	-11748.5595703125	2181
UPBOARD	GPS	0.0	0.0	0.0	2181
UPBOARD	GPS	0.0	0.0	0.0	2181
UPBOARD	GPS	0.0	0.0	0.0	2181
UPBOARD	GPS	222248.203125	3520.860107421875	-11748.5595703125	2181
UPBOARD	GPS	0.0	0.0	0.0	2181
UPBOARD	GPS	0.0	0.0	0.0	2182
UPBOARD	GPS	0.0	0.0	0.0	2182
UPBOARD	GPS	222248.296875	3520.860107421875	-11748.5595703125	2182
UPBOARD	GPS	0.0	0.0	0.0	2182
UPBOARD	GPS	0.0	0.0	0.0	2182
UPBOARD	GPS	0.0	0.0	0.0	2182
UPBOARD	GPS	222248.40625	3520.860107421875	-11748.5595703125	2182
UPBOARD	GPS	0.0	0.0	0.0	2182
UPBOARD	GPS	0.0	0.0	0.0	2182
UPBOARD	GPS	222248.5	3520.860107421875	-11748.5595703125	2182
UPBOARD	GPS	0.0	0.0	0.0	2182
UPBOARD	GPS	0.0	0.0	0.0	2182
UPBOARD	GPS	0.0	0.0	0.0	2182
UPBOARD	GPS	222248.59375	3520.860107421875	-11748.5595703125	2182
UPBOARD	GPS	0.0	0.0	0.0	2182
UPBOARD	GPS	0.0	0.0	0.0	2182
UPBOARD	GPS	0.0	0.0	0.0	2182
UPBOARD	GPS	222248.703125	3520.860107421875	-2.469731137219081e-35	2182
UPBOARD	GPS	0.0	0.0	0.0	2182
UPBOARD	GPS	0.0	0.0	0.0	2182
UPBOARD	GPS	0.0	0.0	0.0	2182
UPBOARD	GPS	222249.0	3520.860107421875	-11748.5595703125	2182
UPBOARD	GPS	0.0	0.0	0.0	2182
UPBOARD	GPS	0.0	0.0	0.0	2182
UPBOARD	GPS	222249.09375	3520.860107421875	-11748.5595703125	2182
UPBOARD	GPS	0.0	0.0	0.0	2182
UPBOARD	GPS	0.0	0.0	0.0	2182
UPBOARD	GPS	0.0	0.0	0.0	2182
UPBOARD	GPS	222249.203125	3520.860107421875	-11748.5595703125	2182
UPBOARD	GPS	0.0	0.0	0.0	2182
UPBOARD	GPS	0.0	0.0	0.0	2183
UPBOARD	GPS	0.0	0.0	0.0	2183
UPBOARD	GPS	222249.296875	3520.860107421875	-11748.5595703125	2183
UPBOARD	GPS	0.0	0.0	0.0	2183
UPBOARD	GPS	0.0	0.0	0.0	2183
UPBOARD	GPS	0.0	0.0	0.0	2183
UPBOARD	GPS	222249.40625	3520.860107421875	-11748.5595703125	2183
UPBOARD	GPS	0.0	0.0	0.0	2183
UPBOARD	GPS	0.0	0.0	0.0	2183
